診療項目代碼,診療項目中文,診療項目英文,支付點數,生效起日,生效訖日,品項類別,給付說明,適應症
05215B,住院藥事服務費（天）—非單一劑量處方,,39,110.03.01,999.12.31,藥事服務費,1.精神科日間住院病患申報藥事服務費，應以該病患實際日間住院治療之日數為限；至院外適應治療期間，不得再申報本項費用。2.留置急診處暫留床二日以上者，自第二天起比照申報。3.精神科日間住院病患及留置急診處暫留床病患不得申報單一劑量藥事服務費。,
05216K,住院藥事服務費（天）－單一劑量處方,,114,110.03.01,999.12.31,藥事服務費,1.精神科日間住院病患申報藥事服務費，應以該病患實際日間住院治療之日數為限；至院外適應治療期間，不得再申報本項費用。2.留置急診處暫留床二日以上者，自第二天起比照申報。3.精神科日間住院病患及留置急診處暫留床病患不得申報單一劑量藥事服務費。,
05217A,住院藥事服務費（天）—單一劑量處方,,99,110.03.01,999.12.31,藥事服務費,1.精神科日間住院病患申報藥事服務費，應以該病患實際日間住院治療之日數為限；至院外適應治療期間，不得再申報本項費用。2.留置急診處暫留床二日以上者，自第二天起比照申報。3.精神科日間住院病患及留置急診處暫留床病患不得申報單一劑量藥事服務費。,
05218B,住院藥事服務費（天）—單一劑量處方,,87,110.03.01,999.12.31,藥事服務費,1.精神科日間住院病患申報藥事服務費，應以該病患實際日間住院治療之日數為限；至院外適應治療期間，不得再申報本項費用。2.留置急診處暫留床二日以上者，自第二天起比照申報。3.精神科日間住院病患及留置急診處暫留床病患不得申報單一劑量藥事服務費。,
05219B,放射性藥品處方之藥事服務費（天）,,225,113.04.01,999.12.31,藥事服務費,凡設置核子醫學部或核醫科，使用放射性同位素(如口服I-131以及其他身體各部位之檢查所需之放射線製劑均屬之)，且調劑藥師具有放射性物質操作執照，於核醫科特殊配製環境內調配，及申報本標準第二部第二章第一節第二十項核子醫學檢查一、「造影」所列項目(排除「26009B甲狀腺刺激素試驗」、「26049B核子斷層檢查術」、「26074C碘-131癌症追蹤檢查-施打Thyrogen」及「26078A鐳223治療處置費」四項)時，得申報本項。,
05220A,全靜脈營養注射劑處方之藥事服務費（天）,TPN,365,113.04.01,999.12.31,藥事服務費,1.限設有經「台灣靜脈暨腸道營養學會」認定合格之「營養醫療小組」之特約醫院申報。2.需為TPN處方，指含有胺基酸、碳水化合物、維生素及微量元素之重新混合注射劑，並於無菌環境中依無菌調配操作標準調配。3.屬三合一營養注射劑之處方組合品項不得申報本項。,
05221A,化學腫瘤藥品處方之藥事服務費 （天）,,365,113.04.01,999.12.31,藥事服務費,註：在層流工作檯內操作或調配之化學腫瘤藥品〈係指所有細胞毒（cytoxic）藥品針劑、非單一劑量包裝之口服細胞毒藥品及生物毒藥品類等〉者得申報本項，惟不包括藥廠製造之一般口服或外用化學腫瘤等，無需在層流工作檯調配之成品製劑者。,
05222A,門診藥事服務費-慢性病處方給藥十三天以內,,61,110.03.01,999.12.31,藥事服務費,,
05223B,門診藥事服務費-每人每日八十件內-慢性病處方給藥十三天以內-特約藥局(山地離島地區每人每日一百件內),,54,110.03.01,999.12.31,藥事服務費,,
05224C,門診藥事服務費-每人每日八十件內-慢性病處方給藥十三天以內-基層院所藥事人員調劑(山地離島地區每人每日一百件內),,39,113.04.01,999.12.31,藥事服務費,,
05225D,門診藥事服務費-慢性病處方給藥十三天以內,,20,113.04.01,999.12.31,藥事服務費,,
05226B,門診藥事服務費-一般處方給藥(七天以內),,54,110.03.01,999.12.31,藥事服務費,,
05227B,門診藥事服務費—慢性病處方給藥十三天以內,,54,110.03.01,999.12.31,藥事服務費,,
05228B,門診藥事服務費－慢性病處方給藥十四至二十七天,,63,110.03.01,999.12.31,藥事服務費,,
05229B,門診藥事服務費－慢性病處方給藥二十八天以上,,77,110.03.01,999.12.31,藥事服務費,,
05234D,門診藥事服務費(診所自聘藥事人員及藥局部分)每人每日八十一至一百件內(山地離島地區每人每日一百零一至一百二十件內),,20,110.03.01,999.12.31,藥事服務費,,
05235B,特殊輸注液處方藥事服務費 (天),,225,106.10.01,999.12.31,藥事服務費,1.非重新組合之TPN混合注射劑僅添加少量微量元素或維生素者得申報本項。2.須於無菌環境中調配。3.本項適應症如下：限水病患、透析病患、新生兒及小兒血液腫瘤科病患或其他經專業認定須自行調配特殊輸注液之個案，且無市售品項可供使用。,
05301C,護理訪視費(次)-資源耗用群為第一類(在合理量內)1.在宅,,1050,104.02.01,999.12.31,居家照護費,1.資源耗用群分類：第一類：需居家護理一般照護項目之病人。第二類：需居家護理特殊照護群組任一組之病人。第三類：需居家護理特殊照護群組任二組之病人。第四類：需居家護理特殊照護群組任三組及以上之病人。2.所訂點數含訪視、護理服務、治療處置、代採檢體及送檢之檢查費、治療材料及電子資料處理等費用在內。3.上項代採之檢體，委託代檢機構應以保險醫事服務機構或保險人指定之醫事檢驗機構為限。 4.視訪時間應記錄於訪視紀錄內，並請患者或其家屬簽章。5.訪視次數每一個案每月以二次為限，出院後新收個案當次之訪視，不計算於當月訪,
05302C,山地離島地區護理訪視費(次)-資源耗用群第一類(在合理量內)1.在宅,,1386,111.06.01,999.12.31,居家照護費,1.資源耗用群分類：第一類：需居家護理一般照護項目之病人。第二類：需居家護理特殊照護群組任一組之病人。第三類：需居家護理特殊照護群組任二組之病人。第四類：需居家護理特殊照護群組任三組及以上之病人。2.所訂點數含訪視、護理服務、治療處置、代採檢體及送檢之檢查費、治療材料及電子資料處理等費用在內。3.上項代採之檢體，委託代檢機構應以保險醫事服務機構或保險人指定之醫事檢驗機構為限。4.視訪時間應記錄於訪視紀錄內，並請患者或其家屬簽章。5.訪視次數每一個案每月以二次為限，出院後新收個案當次之訪視，不計算於當月訪視,
05303C,護理訪視費(次)-資源耗用群為第二類(在合理量內)1.在宅,,1455,104.02.01,999.12.31,居家照護費,1.資源耗用群分類：第一類：需居家護理一般照護項目之病人。第二類：需居家護理特殊照護群組任一組之病人。第三類：需居家護理特殊照護群組任二組之病人。第四類：需居家護理特殊照護群組任三組及以上之病人。2.所訂點數含訪視、護理服務、治療處置、代採檢體及送檢之檢查費、治療材料及電子資料處理等費用在內。3.上項代採之檢體，委託代檢機構應以保險醫事服務機構或保險人指定之醫事檢驗機構為限。4.視訪時間應記錄於訪視紀錄內，並請患者或其家屬簽章。5.訪視次數每一個案每月以二次為限，出院後新收個案當次之訪視，不計算於當月訪視,
05303CA,呼吸治療人員訪視費,,970,089.07.01,999.12.31,居家照護費,行政院衛生福利部以89年5月2日衛署89021187號函核定本署所送「全民健康保險呼吸器依賴患者整合性照護前膽性支付方式」試辦計畫。,
05304C,山地離島地區護理訪視費(次)-資源耗用群為第二類(在合理量內)1.在宅,,1921,111.06.01,999.12.31,居家照護費,1.資源耗用群分類：第一類：需居家護理一般照護項目之病人。第二類：需居家護理特殊照護群組任一組之病人。第三類：需居家護理特殊照護群組任二組之病人。第四類：需居家護理特殊照護群組任三組及以上之病人。2.所訂點數含訪視、護理服務、治療處置、代採檢體及送檢之檢查費、治療材料及電子資料處理等費用在內。3.上項代採之檢體，委託代檢機構應以保險醫事服務機構或保險人指定之醫事檢驗機構為限。4.視訪時間應記錄於訪視紀錄內，並請患者或其家屬簽章。5.訪視次數每一個案每月以二次為限，出院後新收個案當次之訪視，不計算於當月訪視,
05305C,護理訪視費(次)-資源耗用群第三類(在合理量內)1.在宅,,1755,104.02.01,999.12.31,居家照護費,1.資源耗用群分類：第一類：需居家護理一般照護項目之病人。第二類：需居家護理特殊照護群組任一組之病人。第三類：需居家護理特殊照護群組任二組之病人。第四類：需居家護理特殊照護群組任三組及以上之病人。2.所訂點數含訪視、護理服務、治療處置、代採檢體及送檢之檢查費、治療材料及電子資料處理等費用在內。3.上項代採之檢體，委託代檢機構應以保險醫事服務機構或保險人指定之醫事檢驗機構為限。4.視訪時間應記錄於訪視紀錄內，並請患者或其家屬簽章。5.訪視次數每一個案每月以二次為限，出院後新收個案當次之訪視，不計算於當月訪視,
05306C,山地離島地區護理訪視費(次)-資源耗用群為第三類(在合理量內)1.在宅,,2317,111.06.01,999.12.31,居家照護費,1.資源耗用群分類：第一類：需居家護理一般照護項目之病人。第二類：需居家護理特殊照護群組任一組之病人。第三類：需居家護理特殊照護群組任二組之病人。第四類：需居家護理特殊照護群組任三組及以上之病人。2.所訂點數含訪視、護理服務、治療處置、代採檢體及送檢之檢查費、治療材料及電子資料處理等費用在內。3.上項代採之檢體，委託代檢機構應以保險醫事服務機構或保險人指定之醫事檢驗機構為限。4.視訪時間應記錄於訪視紀錄內，並請患者或其家屬簽章。5.訪視次數每一個案每月以二次為限，出院後新收個案當次之訪視，不計算於當月訪視,
05307C,醫師訪視費(次)1.在宅,,1553,110.12.01,999.12.31,居家照護費,1.訪視次數每一個案至少每三個月訪視一次，每二個月申報一次為限，若病人病情有顯著變化，需要多於一次者，申報費用時應檢附訪視紀錄，並詳述理由。2.每位醫師訪視個案數，每日以八人次為原則；每月以一百八十人次為限。3.訪視醫師，以與保險人特約之保險醫事服務機構之醫師為限。※屬居整計畫案件者，其訪視次數依居整計畫規定辦理。,
05308C,山地離島地區醫師訪視費(次)1.在宅,,2051,111.06.01,999.12.31,居家照護費,1.訪視次數每一個案至少每三個月訪視一次，每二個月申報一次為限，若病人病情有顯著變化，需要多於一次者，申報費用時應檢附訪視紀錄，並詳述理由。2.每位醫師訪視個案數，每日以八人次為原則；每月以一百八十人次為限。3.訪視醫師，以與保險人特約之保險醫事服務機構之醫師為限。※屬居整計畫案件者，其訪視次數依居整計畫規定辦理。,
05309C,醫師訪視費(次)1.在宅－同一醫師，應同一承辦居家照護業務機構之請，當日訪視個案在五個以上者，自第五個個案起，其訪視費依本項申報,,600,111.06.01,999.12.31,居家照護費,1.訪視次數每一個案至少每三個月訪視一次，每二個月申報一次為限，若病人病情有顯著變化，需要多於一次者，申報費用時應檢附訪視紀錄，並詳述理由。2.每位醫師訪視個案數，每日以八人次為原則；每月以一百八十人次為限。3.訪視醫師，以與保險人特約之保險醫事服務機構之醫師為限。,
05310C,山地離島地區醫師訪視費(次)1.在宅－山地離島地區同一醫師，應同一承辦居家照護業務機構之請，當日訪視個案在五個以上者，自第五個個案起，其訪視費依本項申報,,792,111.06.01,999.12.31,居家照護費,1.訪視次數每一個案至少每三個月訪視一次，每二個月申報一次為限，若病人病情有顯著變化，需要多於一次者，申報費用時應檢附訪視紀錄，並詳述理由。2.每位醫師訪視個案數，每日以八人次為原則；每月以一百八十人次為限。3.訪視醫師，以與保險人特約之保險醫事服務機構之醫師為限。,
05312C,甲類醫師訪視費用(次)-在宅,,1553,111.06.01,999.12.31,居家照護費,1.訪視次數每一個案每週以二次為原則，若病人病情有顯著變化，需要多於每週二次者，申報費用時應檢附訪視記錄，並詳述理由。2.每位醫師每月訪視次數以四十五次為限。※屬居整計畫案件者，其訪視次數依居整計畫規定辦理。,
05313C,甲類護理訪視費(次)-在宅:訪視時間1小時以內(≦1小時),,1650,104.02.01,999.12.31,居家照護費,1.護理人員訪視次數每一個案每週以二次為原則，若病人病情有顯著變化，需要多於每週二次者，申報費用時應檢附訪視記錄，並詳述理由。2.每位護理人員每月訪視次數以四十五次為限。3.護理訪視費所訂點數含訪視、護理服務、治療處置、代取藥、代採檢體及送檢之檢查費、治療材料及電子資料處理等費用在內。※屬居整計畫案件者，其訪視次數依居整計畫規定辦理。,
05314C,甲類護理訪視費(次)-在宅:訪視時間1小時以上(>1小時),,2250,104.02.01,999.12.31,居家照護費,1.護理人員訪視次數每一個案每週以二次為原則，若病人病情有顯著變化，需要多於每週二次者，申報費用時應檢附訪視記錄，並詳述理由。2.每位護理人員每月訪視次數以四十五次為限。3.護理訪視費所訂點數含訪視、護理服務、治療處置、代取藥、代採檢體及送檢之檢查費、治療材料及電子資料處理等費用在內。※屬居整計畫案件者，其訪視次數依居整計畫規定辦理。,
05315C,其他專業人員處置費(次)-在宅:目前僅限於社會工作人員或心理師,,1050,104.02.01,999.12.31,居家照護費,1.現暫定為社會工作人員或心理師。訪視次數每一個案每週以乙次為原則，若病人病情有顯著變化，需要多於每週乙次者，申報費用時應檢附訪視記錄，並詳述理由。2.每位專業人員每月訪視次數以45次為限。※屬居整計畫案件者，其訪視次數依居整計畫規定辦理。,
05316C,"病患自控式止痛處置及材料費(Patient- Controlled Anagesia, PCA)",,1890,104.02.01,999.12.31,居家照護費,1.所訂點數含PCA 幫浦注射費、PCA裝置(set)、 PCA袋(bag)等。2.每一個案每月限申報2次。,
05321C,護理訪視費(次)-資源耗用群為第四類(在合理量內)1.在宅,,2055,104.02.01,999.12.31,居家照護費,1.資源耗用群分類：第一類：需居家護理一般照護項目之病人。第二類：需居家護理特殊照護群組任一組之病人。第三類：需居家護理特殊照護群組任二組之病人。第四類：需居家護理特殊照護群組任三組及以上之病人。2.所訂點數含訪視、護理服務、治療處置、代採檢體及送檢之檢查費、治療材料及電子資料處理等費用在內。3.上項代採之檢體，委託代檢機構應以保險醫事服務機構或保險人指定之醫事檢驗機構為限。4.視訪時間應記錄於訪視紀錄內，並請患者或其家屬簽章。5.訪視次數每一個案每月以二次為限，出院後新收個案當次之訪視，不計算於當月訪視,
05322C,山地離島地區護理訪視費(次)-資源耗用群為第四類(在合理量內)1.在宅,,2713,111.06.01,999.12.31,居家照護費,1.資源耗用群分類：第一類：需居家護理一般照護項目之病人。第二類：需居家護理特殊照護群組任一組之病人。第三類：需居家護理特殊照護群組任二組之病人。第四類：需居家護理特殊照護群組任三組及以上之病人。2.所訂點數含訪視、護理服務、治療處置、代採檢體及送檢之檢查費、治療材料及電子資料處理等費用在內。3.上項代採之檢體，委託代檢機構應以保險醫事服務機構或保險人指定之醫事檢驗機構為限。4.視訪時間應記錄於訪視紀錄內，並請患者或其家屬簽章。5.訪視次數每一個案每月以二次為限，出院後新收個案當次之訪視，不計算於當月訪視,
05323C,甲類醫師訪視費用–山地離島地區(次)-在宅,,2051,111.06.01,999.12.31,居家照護費,1.訪視次數每一個案每週以二次為原則，若病人病情有顯著變化，需要多於每週二次者，申報費用時應檢附訪視記錄，並詳述理由。2.每位醫師每月訪視次數以四十五次為限。※屬居整計畫案件者，其訪視次數依居整計畫規定辦理。,
05324C,甲類護理訪視費(次)-在宅:訪視時間1小時以內(≦1小時)-山地離島地區,,2178,111.06.01,999.12.31,居家照護費,1.護理人員訪視次數每一個案每週以二次為原則，若病人病情有顯著變化，需要多於每週二次者，申報費用時應檢附訪視記錄，並詳述理由。2.每位護理人員每月訪視次數以四十五次為限。3.護理訪視費所訂點數含訪視、護理服務、治療處置、代取藥、代採檢體及送檢之檢查費、治療材料及電子資料處理等費用在內。※屬居整計畫案件者，其訪視次數依居整計畫規定辦理。,
05325C,甲類護理訪視費(次)-在宅:訪視時間1小時以上(>1小時)–山地離島地區,,2970,111.06.01,999.12.31,居家照護費,1.護理人員訪視次數每一個案每週以二次為原則，若病人病情有顯著變化，需要多於每週二次者，申報費用時應檢附訪視記錄，並詳述理由。2.每位護理人員每月訪視次數以四十五次為限。3.護理訪視費所訂點數含訪視、護理服務、治療處置、代取藥、代採檢體及送檢之檢查費、治療材料及電子資料處理等費用在內。※屬居整計畫案件者，其訪視次數依居整計畫規定辦理。,
05326C,臨終病患訪視費,,5000,111.09.01,999.12.31,居家照護費,註:1.限訪視臨終病人，且ECOG三級以上之病人，實際訪視時間在二小時以上，始得申報此項費用，每位病人申報訪視次數僅限一次。2.甲乙兩類醫事人員皆可申報。3.服務內容需包含臨終訪視、善終準備及家屬哀傷輔導等。※屬居整計畫案件者，其訪視次數依居整計畫規定辦理。,
05327C,臨終病患訪視費山地離島地區,,6600,111.09.01,999.12.31,居家照護費,註:1.限訪視臨終病人，且ECOG三級以上之病人，實際訪視時間在二小時以上，始得申報此項費用，每位病人申報訪視次數僅限一次。2.甲乙兩類醫事人員皆可申報。3.服務內容需包含臨終訪視、善終準備及家屬哀傷輔導等。※屬居整計畫案件者，其訪視次數依居整計畫規定辦理。,
05328C,護理訪視費(次)-資源耗用群為第一類(超出合理量)1.在宅,,420,104.02.01,999.12.31,居家照護費,1.資源耗用群分類：第一類：需居家護理一般照護項目之病人。第二類：需居家護理特殊照護群組任一組之病人。第三類：需居家護理特殊照護群組任二組之病人。第四類：需居家護理特殊照護群組任三組及以上之病人。2.所訂點數含訪視、護理服務、治療處置、代採檢體及送檢之檢查費、治療材料及電子資料處理等費用在內。3.上項代採之檢體，委託代檢機構應以保險醫事服務機構或保險人指定之醫事檢驗機構為限。4.視訪時間應記錄於訪視紀錄內，並請患者或其家屬簽章。5.訪視次數每一個案每月以二次為限，出院後新收個案當次之訪視，不計算於當月訪視,
05329C,山地離島地區護理訪視費（次)–資源耗用群第一類(超出合理量)1.在宅,,552,111.06.01,999.12.31,居家照護費,1.資源耗用群分類：第一類：需居家護理一般照護項目之病人。第二類：需居家護理特殊照護群組任一組之病人。第三類：需居家護理特殊照護群組任二組之病人。第四類：需居家護理特殊照護群組任三組及以上之病人。2.所訂點數含訪視、護理服務、治療處置、代採檢體及送檢之檢查費、治療材料及電子資料處理等費用在內。3.上項代採之檢體，委託代檢機構應以保險醫事服務機構或保險人指定之醫事檢驗機構為限。4.視訪時間應記錄於訪視紀錄內，並請患者或其家屬簽章。5.訪視次數每一個案每月以二次為限，出院後新收個案當次之訪視，不計算於當月訪視,
05330C,護理訪視費(次)-資源耗用群為第二類(超出合理量)1.在宅,,580,104.02.01,999.12.31,居家照護費,1.資源耗用群分類：第一類：需居家護理一般照護項目之病人。第二類：需居家護理特殊照護群組任一組之病人。第三類：需居家護理特殊照護群組任二組之病人。第四類：需居家護理特殊照護群組任三組及以上之病人。2.所訂點數含訪視、護理服務、治療處置、代採檢體及送檢之檢查費、治療材料及電子資料處理等費用在內。3.上項代採之檢體，委託代檢機構應以保險醫事服務機構或保險人指定之醫事檢驗機構為限。4.視訪時間應記錄於訪視紀錄內，並請患者或其家屬簽章。5.訪視次數每一個案每月以二次為限，出院後新收個案當次之訪視，不計算於當月訪視,
05331C,山地離島地區護理訪視費(次)-資源耗用群為第二類(超出合理量)1.在宅,,768,111.06.01,999.12.31,居家照護費,1.資源耗用群分類：第一類：需居家護理一般照護項目之病人。第二類：需居家護理特殊照護群組任一組之病人。第三類：需居家護理特殊照護群組任二組之病人。第四類：需居家護理特殊照護群組任三組及以上之病人。2.所訂點數含訪視、護理服務、治療處置、代採檢體及送檢之檢查費、治療材料及電子資料處理等費用在內。3.上項代採之檢體，委託代檢機構應以保險醫事服務機構或保險人指定之醫事檢驗機構為限。4.視訪時間應記錄於訪視紀錄內，並請患者或其家屬簽章。5.訪視次數每一個案每月以二次為限，出院後新收個案當次之訪視，不計算於當月訪視,
05332C,護理訪視費(次)-資源耗用群第三類(超出合理量)1.在宅,,700,104.02.01,999.12.31,居家照護費,1.資源耗用群分類：第一類：需居家護理一般照護項目之病人。第二類：需居家護理特殊照護群組任一組之病人。第三類：需居家護理特殊照護群組任二組之病人。第四類：需居家護理特殊照護群組任三組及以上之病人。2.所訂點數含訪視、護理服務、治療處置、代採檢體及送檢之檢查費、治療材料及電子資料處理等費用在內。3.上項代採之檢體，委託代檢機構應以保險醫事服務機構或保險人指定之醫事檢驗機構為限。4.視訪時間應記錄於訪視紀錄內，並請患者或其家屬簽章。5.訪視次數每一個案每月以二次為限，出院後新收個案當次之訪視，不計算於當月訪視,
05333C,山地離島地區護理訪視費(次)-資源耗用群為第三類(超出合理量)1.在宅,,924,111.06.01,999.12.31,居家照護費,1.資源耗用群分類：第一類：需居家護理一般照護項目之病人。第二類：需居家護理特殊照護群組任一組之病人。第三類：需居家護理特殊照護群組任二組之病人。第四類：需居家護理特殊照護群組任三組及以上之病人。2.所訂點數含訪視、護理服務、治療處置、代採檢體及送檢之檢查費、治療材料及電子資料處理等費用在內。3.上項代採之檢體，委託代檢機構應以保險醫事服務機構或保險人指定之醫事檢驗機構為限。4.視訪時間應記錄於訪視紀錄內，並請患者或其家屬簽章。5.訪視次數每一個案每月以二次為限，出院後新收個案當次之訪視，不計算於當月訪視,
05334C,護理訪視費(次)-資源耗用群為第四類(超出合理量)1.在宅,,820,104.02.01,999.12.31,居家照護費,1.資源耗用群分類：第一類：需居家護理一般照護項目之病人。第二類：需居家護理特殊照護群組任一組之病人。第三類：需居家護理特殊照護群組任二組之病人。第四類：需居家護理特殊照護群組任三組及以上之病人。2.所訂點數含訪視、護理服務、治療處置、代採檢體及送檢之檢查費、治療材料及電子資料處理等費用在內。3.上項代採之檢體，委託代檢機構應以保險醫事服務機構或保險人指定之醫事檢驗機構為限。4.視訪時間應記錄於訪視紀錄內，並請患者或其家屬簽章。5.訪視次數每一個案每月以二次為限，出院後新收個案當次之訪視，不計算於當月訪視,
05335C,山地離島地區護理訪視費(次)-資源耗用群為第四類(超出合理量)1.在宅,,1080,111.06.01,999.12.31,居家照護費,1.資源耗用群分類：第一類：需居家護理一般照護項目之病人。第二類：需居家護理特殊照護群組任一組之病人。第三類：需居家護理特殊照護群組任二組之病人。第四類：需居家護理特殊照護群組任三組及以上之病人。2.所訂點數含訪視、護理服務、治療處置、代採檢體及送檢之檢查費、治療材料及電子資料處理等費用在內。3.上項代採之檢體，委託代檢機構應以保險醫事服務機構或保險人指定之醫事檢驗機構為限。4.視訪時間應記錄於訪視紀錄內，並請患者或其家屬簽章。5.訪視次數每一個案每月以二次為限，出院後新收個案當次之訪視，不計算於當月訪視,
05336C,乙類醫師訪視費用(次)-在宅,,1088,111.06.01,999.12.31,居家照護費,1.訪視次數每一個案每週以二次為原則，若病人病情有顯著變化，需要多於每週二次者，申報費用時應檢附訪視記錄，並詳述理由。2.每位醫師每月訪視次數以四十五次為限。※屬居整計畫案件者，其訪視次數依居整計畫規定辦理。,
05337C,乙類醫師訪視費用山地離島地區(次)-在宅,,1435,111.06.01,999.12.31,居家照護費,1.訪視次數每一個案每週以二次為原則，若病人病情有顯著變化，需要多於每週二次者，申報費用時應檢附訪視記錄，並詳述理由。2.每位醫師每月訪視次數以四十五次為限。※屬居整計畫案件者，其訪視次數依居整計畫規定辦理。,
05338C,乙類護理訪視費(次)-在宅:訪視時間1小時以內(≦1小時),,1155,104.02.01,999.12.31,居家照護費,1.護理人員訪視次數每一個案每週以二次為原則，若病人病情有顯著變化，需要多於每週二次者，申報費用時應檢附訪視記錄，並詳述理由。2.每位護理人員每月訪視次數以四十五次為限。3.護理訪視費所訂點數含訪視、護理服務、治療處置、代取藥、代採檢體及送檢之檢查費、治療材料及電子資料處理等費用在內。※屬居整計畫案件者，其訪視次數依居整計畫規定辦理。,
05339C,乙類護理訪視費山地離島地區(次)-在宅:訪視時間1小時以內(≦1小時),,1525,111.06.01,999.12.31,居家照護費,1.護理人員訪視次數每一個案每週以二次為原則，若病人病情有顯著變化，需要多於每週二次者，申報費用時應檢附訪視記錄，並詳述理由。2.每位護理人員每月訪視次數以四十五次為限。3.護理訪視費所訂點數含訪視、護理服務、治療處置、代取藥、代採檢體及送檢之檢查費、治療材料及電子資料處理等費用在內。※屬居整計畫案件者，其訪視次數依居整計畫規定辦理。,
05340C,乙類護理訪視費(次)-在宅:訪視時間1小時以上(＞1小時),,1575,104.02.01,999.12.31,居家照護費,1.護理人員訪視次數每一個案每週以二次為原則，若病人病情有顯著變化，需要多於每週二次者，申報費用時應檢附訪視記錄，並詳述理由。2.每位護理人員每月訪視次數以四十五次為限。3.護理訪視費所訂點數含訪視、護理服務、治療處置、代取藥、代採檢體及送檢之檢查費、治療材料及電子資料處理等費用在內。※屬居整計畫案件者，其訪視次數依居整計畫規定辦理。,
05341C,乙類護理訪視費山地離島地區(次)-在宅:訪視時間1小時以上(＞1小時),,2080,111.06.01,999.12.31,居家照護費,1.護理人員訪視次數每一個案每週以二次為原則，若病人病情有顯著變化，需要多於每週二次者，申報費用時應檢附訪視記錄，並詳述理由。2.每位護理人員每月訪視次數以四十五次為限。3.護理訪視費所訂點數含訪視、護理服務、治療處置、代取藥、代採檢體及送檢之檢查費、治療材料及電子資料處理等費用在內。※屬居整計畫案件者，其訪視次數依居整計畫規定辦理。,
05342C,護理訪視費(次)-資源耗用群為第一類(在合理量內)2.機構,,840,104.02.01,999.12.31,居家照護費,1.資源耗用群分類：第一類：需居家護理一般照護項目之病人。第二類：需居家護理特殊照護群組任一組之病人。第三類：需居家護理特殊照護群組任二組之病人。第四類：需居家護理特殊照護群組任三組及以上之病人。2.所訂點數含訪視、護理服務、治療處置、代採檢體及送檢之檢查費、治療材料及電子資料處理等費用在內。3.上項代採之檢體，委託代檢機構應以保險醫事服務機構或保險人指定之醫事檢驗機構為限。 4.視訪時間應記錄於訪視紀錄內，並請患者或其家屬簽章。5.訪視次數每一個案每月以二次為限，出院後新收個案當次之訪視，不計算於當月訪,
05343C,山地離島地區護理訪視費(次)-資源耗用群第一類(在合理量內)2.機構,,1109,111.06.01,999.12.31,居家照護費,1.資源耗用群分類：第一類：需居家護理一般照護項目之病人。第二類：需居家護理特殊照護群組任一組之病人。第三類：需居家護理特殊照護群組任二組之病人。第四類：需居家護理特殊照護群組任三組及以上之病人。2.所訂點數含訪視、護理服務、治療處置、代採檢體及送檢之檢查費、治療材料及電子資料處理等費用在內。3.上項代採之檢體，委託代檢機構應以保險醫事服務機構或保險人指定之醫事檢驗機構為限。4.視訪時間應記錄於訪視紀錄內，並請患者或其家屬簽章。5.訪視次數每一個案每月以二次為限，出院後新收個案當次之訪視，不計算於當月訪視,
05344C,護理訪視費(次)-資源耗用群為第一類(超出合理量)2.機構,,420,104.02.01,999.12.31,居家照護費,1.資源耗用群分類：第一類：需居家護理一般照護項目之病人。第二類：需居家護理特殊照護群組任一組之病人。第三類：需居家護理特殊照護群組任二組之病人。第四類：需居家護理特殊照護群組任三組及以上之病人。2.所訂點數含訪視、護理服務、治療處置、代採檢體及送檢之檢查費、治療材料及電子資料處理等費用在內。3.上項代採之檢體，委託代檢機構應以保險醫事服務機構或保險人指定之醫事檢驗機構為限。4.視訪時間應記錄於訪視紀錄內，並請患者或其家屬簽章。5.訪視次數每一個案每月以二次為限，出院後新收個案當次之訪視，不計算於當月訪視,
05345C,山地離島地區護理訪視費(次)-資源耗用群第一類(超出合理量)2.機構,,552,111.06.01,999.12.31,居家照護費,1.資源耗用群分類：第一類：需居家護理一般照護項目之病人。第二類：需居家護理特殊照護群組任一組之病人。第三類：需居家護理特殊照護群組任二組之病人。第四類：需居家護理特殊照護群組任三組及以上之病人。2.所訂點數含訪視、護理服務、治療處置、代採檢體及送檢之檢查費、治療材料及電子資料處理等費用在內。3.上項代採之檢體，委託代檢機構應以保險醫事服務機構或保險人指定之醫事檢驗機構為限。4.視訪時間應記錄於訪視紀錄內，並請患者或其家屬簽章。5.訪視次數每一個案每月以二次為限，出院後新收個案當次之訪視，不計算於當月訪視,
05346C,護理訪視費(次)-資源耗用群為第二類(在合理量內)2.機構,,1164,104.02.01,999.12.31,居家照護費,1.資源耗用群分類：第一類：需居家護理一般照護項目之病人。第二類：需居家護理特殊照護群組任一組之病人。第三類：需居家護理特殊照護群組任二組之病人。第四類：需居家護理特殊照護群組任三組及以上之病人。2.所訂點數含訪視、護理服務、治療處置、代採檢體及送檢之檢查費、治療材料及電子資料處理等費用在內。3.上項代採之檢體，委託代檢機構應以保險醫事服務機構或保險人指定之醫事檢驗機構為限。4.視訪時間應記錄於訪視紀錄內，並請患者或其家屬簽章。5.訪視次數每一個案每月以二次為限，出院後新收個案當次之訪視，不計算於當月訪視,
